Varijanta,Model,fold,train_rows,test_rows,MAE,RMSE,R²
V2 (Medijana),Random Forest,1990–2009 → 2010–2014,3880,970,22.4245,153.2493,0.9648
V2 (Medijana),Random Forest,1995–2014 → 2015–2019,3880,970,30.3793,289.0684,0.8843
V2 (Medijana),Transformer,1960–1979 → 1980–1984,3880,970,52.0072,325.2058,0.3343
V2 (Medijana),Transformer,1965–1984 → 1985–1989,3880,970,70.0665,349.3239,0.3568
V2 (Medijana),Transformer,1970–1989 → 1990–1994,3880,970,66.3977,382.0953,0.3245
V2 (Medijana),Transformer,1975–1994 → 1995–1999,3880,970,75.4240,403.8548,0.3562
V2 (Medijana),Transformer,1980–1999 → 2000–2004,3880,970,83.7879,423.0282,0.4249
V2 (Medijana),Transformer,1985–2004 → 2005–2009,3880,970,85.6344,470.4423,0.5225
V2 (Medijana),Transformer,1990–2009 → 2010–2014,3880,970,89.2573,429.2668,0.7239
V2 (Medijana),Transformer,1995–2014 → 2015–2019,3880,970,69.9972,399.4794,0.7791
V3 (missForest),Lin. regresija,1960–1979 → 1980–1984,3880,970,29.6788,87.3983,0.9519
V3 (missForest),Lin. regresija,1965–1984 → 1985–1989,3880,970,36.0087,100.5509,0.9467
V3 (missForest),Lin. regresija,1970–1989 → 1990–1994,3880,970,44.3419,123.9989,0.9289
V3 (missForest),Lin. regresija,1975–1994 → 1995–1999,3880,970,52.2192,154.7653,0.9055
V3 (missForest),Lin. regresija,1980–1999 → 2000–2004,3880,970,55.9096,170.5520,0.9065
V3 (missForest),Lin. regresija,1985–2004 → 2005–2009,3880,970,59.1742,163.6855,0.9422
V3 (missForest),Lin. regresija,1990–2009 → 2010–2014,3880,970,60.7450,141.3304,0.9701
V3 (missForest),Lin. regresija,1995–2014 → 2015–2019,3880,970,65.1691,145.6945,0.9706
V3 (missForest),Neur. mreža,1960–1979 → 1980–1984,3880,970,24.7558,43.5114,0.9881
V3 (missForest),Neur. mreža,1965–1984 → 1985–1989,3880,970,24.1604,48.2704,0.9877
V3 (missForest),Neur. mreža,1970–1989 → 1990–1994,3880,970,24.0270,48.6022,0.9891
V3 (missForest),Neur. mreža,1975–1994 → 1995–1999,3880,970,25.0658,67.3569,0.9821
V3 (missForest),Neur. mreža,1980–1999 → 2000–2004,3880,970,27.2576,64.3254,0.9867
V3 (missForest),Neur. mreža,1985–2004 → 2005–2009,3880,970,25.1754,43.6234,0.9959
V3 (missForest),Neur. mreža,1990–2009 → 2010–2014,3880,970,24.2241,69.3131,0.9928
V3 (missForest),Neur. mreža,1995–2014 → 2015–2019,3880,970,22.1530,47.8257,0.9968
V3 (missForest),Random Forest,1960–1979 → 1980–1984,3880,970,9.9324,38.6672,0.9906
V3 (missForest),Random Forest,1965–1984 → 1985–1989,3880,970,14.8847,64.4087,0.9781
V3 (missForest),Random Forest,1970–1989 → 1990–1994,3880,970,16.0581,71.1079,0.9766
V3 (missForest),Random Forest,1975–1994 → 1995–1999,3880,970,18.3694,90.5664,0.9676
V3 (missForest),Random Forest,1980–1999 → 2000–2004,3880,970,17.8494,82.8570,0.9779
V3 (missForest),Random Forest,1985–2004 → 2005–2009,3880,970,20.0911,154.6567,0.9484
V3 (missForest),Random Forest,1990–2009 → 2010–2014,3880,970,21.9373,153.7600,0.9646
V3 (missForest),Random Forest,1995–2014 → 2015–2019,3880,970,13.8240,61.8541,0.9947
V3 (missForest),Transformer,1960–1979 → 1980–1984,3880,970,15.3275,37.5647,0.9911
V3 (missForest),Transformer,1965–1984 → 1985–1989,3880,970,19.2249,70.8651,0.9735
V3 (missForest),Transformer,1970–1989 → 1990–1994,3880,970,31.8640,197.9967,0.8186
V3 (missForest),Transformer,1975–1994 → 1995–1999,3880,970,23.2034,75.6275,0.9774
V3 (missForest),Transformer,1980–1999 → 2000–2004,3880,970,24.8325,86.9783,0.9757
V3 (missForest),Transformer,1985–2004 → 2005–2009,3880,970,58.8893,277.0375,0.8344
V3 (missForest),Transformer,1990–2009 → 2010–2014,3880,970,35.6787,160.0594,0.9616
V3 (missForest),Transformer,1995–2014 → 2015–2019,3880,970,37.0776,91.9878,0.9883
V4 (MICE temporal),Lin. regresija,1960–1979 → 1980–1984,3880,970,13.4822,33.4451,0.9930
V4 (MICE temporal),Lin. regresija,1965–1984 → 1985–1989,3880,970,16.2943,44.2969,0.9897
V4 (MICE temporal),Lin. regresija,1970–1989 → 1990–1994,3880,970,18.3981,48.6564,0.9890
V4 (MICE temporal),Lin. regresija,1975–1994 → 1995–1999,3880,970,21.0046,54.7286,0.9882
V4 (MICE temporal),Lin. regresija,1980–1999 → 2000–2004,3880,970,23.4821,53.2939,0.9909
V4 (MICE temporal),Lin. regresija,1985–2004 → 2005–2009,3880,970,26.3150,64.7375,0.9910
V4 (MICE temporal),Lin. regresija,1990–2009 → 2010–2014,3880,970,32.8592,118.0730,0.9791
V4 (MICE temporal),Lin. regresija,1995–2014 → 2015–2019,3880,970,36.9721,97.4261,0.9869
V4 (MICE temporal),Neur. mreža,1960–1979 → 1980–1984,3880,970,18.4011,42.6303,0.9886
V4 (MICE temporal),Neur. mreža,1965–1984 → 1985–1989,3880,970,23.7783,58.3635,0.9820
V4 (MICE temporal),Neur. mreža,1970–1989 → 1990–1994,3880,970,13.7625,36.4145,0.9939
V4 (MICE temporal),Neur. mreža,1975–1994 → 1995–1999,3880,970,12.9303,27.2818,0.9971
V4 (MICE temporal),Neur. mreža,1980–1999 → 2000–2004,3880,970,18.4141,34.0606,0.9963
V4 (MICE temporal),Neur. mreža,1985–2004 → 2005–2009,3880,970,20.1023,40.1802,0.9965
V4 (MICE temporal),Neur. mreža,1990–2009 → 2010–2014,3880,970,21.3226,49.2940,0.9964
V4 (MICE temporal),Neur. mreža,1995–2014 → 2015–2019,3880,970,43.1239,108.5493,0.9837
V4 (MICE temporal),Random Forest,1960–1979 → 1980–1984,3880,970,8.4699,26.0378,0.9957
V4 (MICE temporal),Random Forest,1965–1984 → 1985–1989,3880,970,14.3577,59.2403,0.9815
V4 (MICE temporal),Random Forest,1970–1989 → 1990–1994,3880,970,12.8039,53.4912,0.9868
V4 (MICE temporal),Random Forest,1975–1994 → 1995–1999,3880,970,20.9598,104.5048,0.9569
V4 (MICE temporal),Random Forest,1980–1999 → 2000–2004,3880,970,18.0758,75.1678,0.9818
V4 (MICE temporal),Random Forest,1985–2004 → 2005–2009,3880,970,17.8295,118.2682,0.9698
V4 (MICE temporal),Random Forest,1990–2009 → 2010–2014,3880,970,20.2375,145.0433,0.9685
V4 (MICE temporal),Random Forest,1995–2014 → 2015–2019,3880,970,15.4751,79.7370,0.9912
V4 (MICE temporal),Transformer,1960–1979 → 1980–1984,3880,970,16.2618,35.9703,0.9919
V4 (MICE temporal),Transformer,1965–1984 → 1985–1989,3880,970,15.1510,37.0171,0.9928
V4 (MICE temporal),Transformer,1970–1989 → 1990–1994,3880,970,20.8513,88.1163,0.9641
V4 (MICE temporal),Transformer,1975–1994 → 1995–1999,3880,970,19.6986,64.7677,0.9834
V4 (MICE temporal),Transformer,1980–1999 → 2000–2004,3880,970,34.0495,100.0708,0.9678
V4 (MICE temporal),Transformer,1985–2004 → 2005–2009,3880,970,45.5945,216.6282,0.8987
V4 (MICE temporal),Transformer,1990–2009 → 2010–2014,3880,970,38.5915,185.8073,0.9483
V4 (MICE temporal),Transformer,1995–2014 → 2015–2019,3880,970,28.4668,93.3171,0.9879
